จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนเจ้าหน้าที่ปฏิบัติงาน (พนักงานดับเพลิง)    จำนวน(คน),"รถดับเพลิง,จำนวน(คัน)",รถบรรทุกน้ำ ขนาดความจุน้อยกว่า 10000 ลิตร   จำนวน(คัน),รถบรรทุกน้ำ ขนาดความจุมากกว่า 10000 ลิตร   จำนวน(คัน),"รถกระเช้า,จำนวน(คัน)","รถบันได,จำนวน(คัน)",เรือยนต์ดับเพลิง   จำนวน(ลำ),เครื่องดับเพลิงชนิดหาบหาม  จำนวน(เครื่อง),รถกู้ภัย จำนวน(คัน),รถสุขาเคลื่อนที่ จำนวน(คัน),เครื่องสูบน้ำ ขนาด 3 - 5 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นชนิดหาบหาม   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นพญานาค   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 5 - 10 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 10 นิ้ว   จำนวน(เครื่อง),รถบรรทุกดั้ม 6 ล้อ จำนวน(คัน),รถบรรทุกดั้ม 10 ล้อ จำนวน(คัน),รถพยาบาลฉุกเฉิน พร้อมอุปกรณ์ทางการแพทย์ จำนวน(คัน),รถหอน้ำ จำนวน(คัน),รถตรวจการณ์ จำนวน(คัน),เบาะลม จำนวน(อัน),เรือกู้ชีพ จำนวน(ลำ)
ตรัง,100,205,35,39,20,38,1,4,37,34,1,15,13,2,3,0,28,5,6,0,7,0,12
ตราด,44,167,24,35,14,18,0,1,40,60,1,10,9,1,13,0,13,0,20,0,9,0,2
ตาก,69,340,38,48,15,29,1,4,73,30,0,30,20,10,31,1,16,0,3,0,4,1,2
นครนายก,46,108,25,38,10,14,0,0,25,14,2,23,9,14,11,5,12,0,6,0,10,1,1
นครปฐม,117,400,57,76,27,56,1,2,213,17,2,174,51,123,122,41,29,3,8,1,13,1,2
นครพนม,104,348,56,62,15,24,1,2,55,75,0,150,87,63,24,39,3,0,20,0,8,0,5
นครราชสีมา,334,1009,133,156,69,107,4,1,582,91,5,149,95,54,103,17,35,1,44,0,51,6,37
นครศรีธรรมราช,185,544,63,80,32,56,2,9,90,71,4,53,31,22,35,5,23,8,47,0,18,1,29
นครสวรรค์,143,626,84,114,42,73,2,14,130,47,2,149,66,83,124,36,45,12,14,3,30,0,11
นนทบุรี,46,536,51,63,29,41,6,15,55,18,23,122,56,66,213,86,33,14,12,1,50,2,2
นราธิวาส,89,569,71,62,21,66,5,10,203,33,1,53,37,16,2,0,19,3,15,2,8,0,26
น่าน,100,445,36,72,16,15,0,1,120,73,0,45,31,14,12,15,8,0,20,0,6,0,25
บึงกาฬ,60,261,28,52,7,16,0,0,20,34,0,16,11,5,1,1,9,0,17,2,11,0,6
บุรีรัมย์,209,735,84,121,45,31,3,1,479,108,1,53,37,16,27,17,20,1,34,2,15,0,7
ปทุมธานี,65,651,92,63,46,65,1,5,59,27,39,174,59,115,158,120,26,1,25,6,49,1,6
ประจวบคีรีขันธ์,61,274,38,49,23,30,2,0,21,24,3,39,23,16,9,1,12,0,8,0,5,0,7
ปราจีนบุรี,70,242,47,52,30,37,0,2,37,17,0,34,28,6,8,1,17,2,7,0,7,0,17
ปัตตานี,114,351,60,45,17,43,2,2,71,28,1,33,18,15,12,4,22,3,9,0,5,1,14
พระนครศรีอยุธยา,158,694,75,77,36,70,3,3,190,28,3,173,72,101,165,25,27,1,12,7,55,0,8
พะเยา,72,358,40,64,13,28,1,1,56,51,2,43,33,10,18,1,26,0,7,0,16,4,10
พังงา,52,116,18,30,21,23,0,0,37,11,1,27,27,0,1,4,22,3,0,0,7,0,7
พัทลุง,74,152,20,24,11,28,0,0,100,25,2,18,9,9,5,7,18,0,16,0,9,0,11
พิจิตร,102,345,47,60,24,38,1,11,77,38,0,63,31,32,26,13,13,2,24,0,14,1,11
พิษณุโลก,103,421,51,73,11,58,2,2,240,41,1,47,25,22,17,19,25,10,7,0,6,0,32
เพชรบุรี,85,293,32,77,18,41,1,4,81,32,4,74,41,33,50,0,27,0,4,0,16,2,5
