ผลคะแนนการเลือกตั้งสมาชิกสภาวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3
นครพนม,นายสุนทร จัตุชัย,2,"52,377"
นครพนม,พ.ต.อ.พัชรินทร์ ณ นครพนม,1,"71,264"
นครราชสีมา,นายณรงค์ อ่อนขาว,5,"49,222"
นครราชสีมา,นายธราดล รวยเลิศสกุล,4,"22,358"
นครราชสีมา,นายวัฒนา เพ็ญเจริญ,3,"40,973"
นครราชสีมา,นายสุทธิชัย ลินดาวรรณ,7,"55,402"
นครราชสีมา,นายสุเมธ ศรีพงษ์,1,"465,037"
นครราชสีมา,นายอนุวัฒน์ คณาจันทร์,2,"256,352"
นครราชสีมา,พ.ต.วิยน ไตรยะวงศ์,6,"18,882"
นครศรีธรรมราช,นายสวัสดิ์ แกล้วทนงค์,4,"217,851"
นครศรีธรรมราช,นายสิริวัฒน์ ไกรสินธุ์,2,"331,285"
นครสวรรค์,นางนิรัตน์ คงวราคม,5,"17,333"
นครสวรรค์,นางอรพินท์ มั่นศิลป์,1,"196,254"
นครสวรรค์,นายชัยวุฒิ หวังซื่อกุล,4,"12,777"
นครสวรรค์,นายประสิทธิ์ อร่ามมนทิราลัย,10,"4,553"
นครสวรรค์,นายพลเดช เร่งเจริญธรรม,3,"11,213"
นครสวรรค์,นายเพิ่มศักดิ์ ศรวณีย์,8,"19,189"
นครสวรรค์,นายลมูล บุญมณี,11,"10,987"
นครสวรรค์,นายละมูล ชัยโย,6,"7,002"
นครสวรรค์,นายสนิท พรมศร,9,"6,665"
นครสวรรค์,ร.อ.จักรวาล ตั้งภากรณ์,7,"77,506"
นนทบุรี,ดร.ยวด แก้วแดง,4,"20,190"
นนทบุรี,นางสุวลี แสงแก่นเพ็ชร์,5,"17,765"
นนทบุรี,นายกิตติชัย ปฏิภาณประเสริฐ,3,"27,390"
นนทบุรี,นายดิเรก ถึงฝั่ง,1,"196,594"
นนทบุรี,นายปรีชา ทัพพะกุล ณ อยุธยา,6,"7,654"
นนทบุรี,นายภุชงค์ น้อยสง่า,7,"14,815"
นนทบุรี,ผ.ศ.ชาลี โกมลสุทธิ์,2,"9,955"
นราธิวาส,นายมูหามะรอสดี บอตอ,2,"118,872"
นราธิวาส,นายแวดือราแม แวดาโอะ,1,"109,110"
น่าน,นายโกศล ศิริรัตน์พิริยะ,3,"9,330"
น่าน,นายธงชัย สว่างวงษ์,6,"14,413"
น่าน,นายระวี จิรเดชากุล,4,"13,480"
น่าน,นายรังสรรค์ ชัยแก้ว,7,"4,791"
น่าน,นายรังสรรค์ สูงสว่าง,2,"23,059"
น่าน,นายสมชาย พันธุ์แก้ว,8,"36,814"
น่าน,นายโสภณ ศรีมาเหล็ก,1,"54,166"
น่าน,นายอนนต์ ตันตระกูล,5,"52,408"
บุรีรัมย์,นายชาญณรงค์ เอี่ยมอิทธิฤทธิ์,3,"81,048"
บุรีรัมย์,นายทวีศักดิ์ คิดบรรจง,2,"245,951"
บุรีรัมย์,นายบุญคง นพรัตน์วงศกร,4,"17,586"
บุรีรัมย์,นายพลกฤต เนาว์ประโคน,5,"94,544"
บุรีรัมย์,นายยั่งยืน เตียตระกูล,1,"34,793"
ปทุมธานี,น.อ.ณัฐวัชร์ ทองศักดิ์,5,"9,858"
ปทุมธานี,นางศิรินาฎ หาญสวัสดิ์,3,"53,715"
ปทุมธานี,นายไพบูลย์ ซำศิริพงษ์,1,"134,693"
ปทุมธานี,นายสมพร อรรถเศรณีวงศ์,8,"13,237"
ปทุมธานี,นายสมโภชน์ วัลยะเสวี,7,"7,767"
ปทุมธานี,นายสุรศิษฎ์ รักษ์สุวงศ์,4,"3,272"
ปทุมธานี,นายสุวิชา นิลสิงขรณ์,6,"1,338"
ปทุมธานี,เรืออากาศเอก พิชิต รัตนเพชร,2,"21,662"
ปทุมธานี,ว่าที่ ร.ต.สรสิน มณีงาม,9,"15,737"
ประจวบคีรีขันธ์,นายทิวา ศุภจรรยา,2,"52,699"
ประจวบคีรีขันธ์,นายธันว์ ออสุวรรณ,1,"94,011"
ประจวบคีรีขันธ์,นายสุชน อินทเสม,4,"25,904"
ประจวบคีรีขันธ์,พ.ต.ต.อุดม ใจนุ่ม,3,"6,874"
ปราจีนบุรี,นายเกษม มกราภิรมย์,3,"20,530"
ปราจีนบุรี,นายสุรเดช จิรัฐิติเจริญ,1,"117,741"
ปราจีนบุรี,นายเอนก รัตนวงศ์,2,"27,314"
ปราจีนบุรี,พันโทแสงจันทร์ จันทร์ขยัน,4,"10,550"
ปัตตานี,นายเพิ่ม นิลรัตน์,4,"33,674"
ปัตตานี,นายวรวิทย์ บารู,1,"101,948"
ปัตตานี,นายสุลัยมาน วิมลจิตต์,2,"14,586"
ปัตตานี,นายอับดุลรอนิ กาหะมะ,3,"49,766"
พระนครศรีอยุธยา,ด.ต.ประเสริฐ มณีฉาย,9,"4,205"
พระนครศรีอยุธยา,นางสาวเกศสิณี แขวัฒนะ,6,"107,052"
พระนครศรีอยุธยา,นางสาวสมจิตร ศิริเสนา,5,"75,783"
พระนครศรีอยุธยา,นางสาวสุวรรณ ชาสะอาด,7,"5,018"
พระนครศรีอยุธยา,นางอังคณา คำมิ,2,"13,599"
พระนครศรีอยุธยา,นายภวัต เทอดไทย,1,"9,128"
พระนครศรีอยุธยา,นายวรรณนพ รักชาติเจริญ,3,"13,168"
พระนครศรีอยุธยา,นายวิโรจน์ นาคก้อน,8,"25,602"
พระนครศรีอยุธยา,นายสันติ อัจจิมานนท์,10,"2,003"
พระนครศรีอยุธยา,นายสินธุ์ชัย มังคลพันธุ์,4,"9,666"
พระนครศรีอยุธยา,นายเสกสรร ศุภแสง,12,"7,864"
พระนครศรีอยุธยา,นายอุดร วงษ์ทับทิม,11,745
พระนครศรีอยุธยา,พ.ต.ท.สัณห์ เจียมทรัพย์,14,"3,992"
พะเยา,นายชัยวัฒน์ จันธิมา,4,"29,823"
พะเยา,นายธนพนธ์ เรืองคำพัฒน์,3,"19,574"
พะเยา,นายเสถียร เชื้อประเสริฐศักดิ์,1,"55,436"
พะเยา,พลโทพงศ์เอก อภิรักษ์โยธิน,2,"101,746"
พังงา,นายมานพน้อย วานิช,1,"82,658"
พัทลุง,นางนาที รัชกิจประการ,2,"80,230"
พัทลุง,นางสาวพรรณฉวี สุภัทรพงศ์,6,"4,295"
พัทลุง,นายเจริญ ภักดีวานิช,3,"123,799"
พัทลุง,นายผู้ใหญ่เล่ง สายลมุล,4,"8,133"
พัทลุง,นายสุทธิชัย หนูนวล,1,"9,878"
พัทลุง,นายโสภณ กสิวงศ์,5,"10,759"
พิจิตร,นายบรรชา พงศ์อายุกูล,1,"126,072"
พิจิตร,นายสุภรณ์ พรธาดาวิทย์,2,"46,407"
พิษณุโลก,นางยานี ทิพย์ประภา,5,"36,087"
พิษณุโลก,นางสาวพิกุลแก้ว ไกรฤกษ์,1,"198,646"
พิษณุโลก,นายสันติ ศิริสินเลิศ,3,"59,924"
เพชรบุรี,นางสาวจินดา กาญจน์กีรติ,7,"35,605"
เพชรบุรี,นางสาวสุมล สุตะวิริยะวัฒน์,2,"49,227"
เพชรบุรี,นายปรากฏ โกลาวัลย์,8,"26,839"
เพชรบุรี,นายพลวัตน์ พงษ์กอปรสกุล,4,"8,816"
เพชรบุรี,นายมังกร เจริญผล,5,"8,945"
เพชรบุรี,นายสุชิน วชิรานุกูล,1,"8,968"
เพชรบุรี,นายเสมา นาคะเวช,9,"2,900"
เพชรบุรี,รศ.ชวน มินศิริ,3,"28,191"
เพชรบุรี,ว่าที่ ร.อ.จิตร์ ศิรธรานนท์,6,"29,067"
เพชรบูรณ์,นางสมพร จูมั่น,1,"186,530"
เพชรบูรณ์,นายวิพากย์ โรจนแพทย์,4,"64,885"
เพชรบูรณ์,นายวีรศักดิ์ เหล่าบุตรสา,3,"18,772"
เพชรบูรณ์,พ.ต.อ.มนัส เนียมประดิษฐ์,2,"54,362"
แพร่,นายขวัญชัย พนมขวัญ,2,"149,725"
แพร่,นายไพบูลย์ สุกใส,3,"11,178"
แพร่,นายองอาจ เอื้ออภิญญกุล,1,"71,840"
ภูเก็ต,นางธันยรัศม์ อัจฉริยะฉาย,1,"39,574"
ภูเก็ต,นายเชิดชัย วงศ์เสรี,3,"35,471"
ภูเก็ต,นายอดิเรก เอ่งฉ้วน,2,"9,947"
มหาสารคาม,นางวราภรณ์ ตปนียากร,6,"59,438"
มหาสารคาม,นางสาคร ยอดป้องเทศ,7,"21,539"
มหาสารคาม,นายถวิล บุตรศรี,2,"16,475"
มหาสารคาม,นายทินกร บุตรเนียร,8,"7,294"
มหาสารคาม,นายนายกิตติศัพท์ สุขศรี,5,"5,356"
มหาสารคาม,นายประวัติ ทองสมบูรณ์,1,"144,689"
มหาสารคาม,นายพรชัย สัจจพงษ์,9,"36,238"
มหาสารคาม,นายวัฒนา จันทศิลป์,12,"8,861"
มหาสารคาม,นายวินัย วงศ์รัตนะ,4,"16,862"
มหาสารคาม,นายสันติ ประทุมรัตน์,3,"12,228"
มหาสารคาม,นายสุเทพ อัตถากร,11,"18,371"
มหาสารคาม,นายสุธี สิทธิชัย,10,"7,679"
มุกดาหาร,นางรัชนี ภูขามคม,5,"2,385"
มุกดาหาร,นายฉลาด ทุ่นศิริ,4,"17,681"
มุกดาหาร,นายบุญฐิน ประทุมลี,10,"24,426"
มุกดาหาร,นายไพบูลย์ ศรีหาคิม,3,"13,629"
มุกดาหาร,นายรังสรรค์ โสมรักษ์,8,"4,819"
