จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนเจ้าหน้าที่ปฏิบัติงาน (พนักงานดับเพลิง)    จำนวน(คน),รถดับเพลิง	จำนวน(คัน),"รถบรรทุกน้ำ ขนาดความจุน้อยกว่า 10,000 ลิตร   จำนวน(คัน)","รถบรรทุกน้ำ ขนาดความจุมากกว่า 10,000 ลิตร   จำนวน(คัน)",รถกระเช้า	จำนวน(คัน),รถบันได	จำนวน(คัน),เรือยนต์ดับเพลิง   จำนวน(ลำ),เครื่องดับเพลิงชนิดหาบหาม  จำนวน(เครื่อง),รถกู้ภัย จำนวน(คัน),รถสุขาเคลื่อนที่ จำนวน(คัน),เครื่องสูบน้ำ ขนาด 3 - 5 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นชนิดหาบหาม   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นพญานาค   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 5 - 10 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 10 นิ้ว   จำนวน(เครื่อง),รถบรรทุกดั้ม 6 ล้อ จำนวน(คัน),รถบรรทุกดั้ม 10 ล้อ จำนวน(คัน),รถพยาบาลฉุกเฉิน พร้อมอุปกรณ์ทางการแพทย์ จำนวน(คัน),รถหอน้ำ จำนวน(คัน),รถตรวจการณ์ จำนวน(คัน),เบาะลม จำนวน(อัน),เรือกู้ชีพ จำนวน(ลำ)
หนองคาย,68,333,39,46,12,17,0.0,3.0,136,38,2.0,24,16,8,23,2,15,4.0,6,1.0,8,0.0,1.0
หนองบัวลำภู,68,310,55,45,16,32,0.0,1.0,131,42,0.0,17,10,7,28,1,16,5.0,18,1.0,8,0.0,2.0
อ่างทอง,65,199,28,35,12,20,1.0,2.0,41,12,0.0,164,76,88,81,10,11,0.0,4,0.0,8,0.0,0.0
อำนาจเจริญ,64,264,34,50,11,15,0.0,0.0,64,24,0.0,15,13,2,13,0,7,1.0,11,0.0,7,0.0,0.0
อุดรธานี,181,988,107,160,36,112,3.0,2.0,446,110,7.0,140,120,20,34,5,38,15.0,36,2.0,38,1.0,5.0
อุตรดิตถ์,80,286,32,67,23,36,1.0,2.0,259,32,3.0,66,38,28,35,20,22,0.0,12,1.0,5,1.0,13.0
อุทัยธานี,64,289,33,69,18,23,1.0,1.0,21,27,1.0,11,3,8,28,4,18,4.0,12,0.0,10,0.0,0.0
อุบลราชธานี,239,692,89,127,46,56,1.0,3.0,440,80,8.0,"1,207","1,104",103,101,26,39,0.0,320,1.0,46,2.0,38.0
รวม,"7,852","33,191","4,402","5,618","2,075","3,382",134.0,251.0,"12,451","3,233",276.0,"6,968","4,707","2,261","3,268","1,003","1,924",261.0,"2,078",81.0,"1,408",71.0,945.0
ข้อมูล ณ วันที่ 06/06/2559 12:15,,,,,,,,,,,,ข้อมูล ณ วันที่ 06/06/2559 12:15,,,,,,,,,,,
