ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา ราชการและรัฐวิสาหกิจ,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
19,ขอนแก่น,455,,,,,,,,,,,,,,,,455
20,อุดรธานี,122,,,,,,,,,,,,,,,,122
21,เลย,350,,,,,,,,,,,,,,,,350
22,หนองคาย,93,,,,,,,,,,,,,,,,93
23,มหาสารคาม,,,,,,,,,,,,,,,,,
24,ร้อยเอ็ด,217,,,,,,,,,,,,,,,,217
25,กาฬสินธุ์,29,,,,,,,,,,,,,,,,29
26,สกลนคร,149,,,,,,,,,,,,,,,,149
27,นครพนม,58,,,,,,,,,,,,,,,,58
28,มุกดาหาร,58,,,,,,,,,,,,,,,,58
29,บึงกาฬ,,,,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,"2,637",,,,,,,,,,,,,,,,"2,637"
30,นครราชสีมา,"1,662",,,,,,,,,,,,,,,,"1,662"
31,บุรีรัมย์,26,,,,,,,,,,,,,,,,26
32,สุรินทร์,197,,,,,,,,,,,,,,,,197
33,ศรีสะเกษ,121,,,,,,,,,,,,,,,,121
34,อุบลราชธานี,444,,,,,,,,,,,,,,,,444
35,ยโสธร,,,,,,,,,,,,,,,,,
36,ชัยภูมิ,35,,,,,,,,,,,,,,,,35
37,อำนาจเจริญ,147,,,,,,,,,,,,,,,,147
38,หนองบัวลำภู,6,,,,,,,,,,,,,,,,6
,ภาคเหนือ,"2,557",,,,,,,,,,,,,,,,"2,557"
,ภาคเหนือบน,633,,,,,,,,,,,,,,,,633
39,เชียงใหม่,379,,,,,,,,,,,,,,,,379
40,ลำพูน,,,,,,,,,,,,,,,,,
41,ลำปาง,45,,,,,,,,,,,,,,,,45
42,อุตรดิตถ์,13,,,,,,,,,,,,,,,,13
43,แพร่,25,,,,,,,,,,,,,,,,25
44,น่าน,23,,,,,,,,,,,,,,,,23
45,พะเยา,15,,,,,,,,,,,,,,,,15
46,เชียงราย,103,,,,,,,,,,,,,,,,103
47,แม่ฮ่องสอน,30,,,,,,,,,,,,,,,,30
,ภาคเหนือตอนล่าง,"1,923",,,,,,,,,,,,,,,,"1,923"
48,นครสวรรค์,136,,,,,,,,,,,,,,,,136
49,อุทัยธานี,306,,,,,,,,,,,,,,,,306
50,กำแพงเพชร,45,,,,,,,,,,,,,,,,45
51,ตาก,62,,,,,,,,,,,,,,,,62
52,สุโขทัย,37,,,,,,,,,,,,,,,,37
53,พิษณุโลก,"1,000",,,,,,,,,,,,,,,,"1,000"
54,พิจิตร,41,,,,,,,,,,,,,,,,41
55,เพชรบูรณ์,297,,,,,,,,,,,,,,,,297
,ภาคตะวันตก,"1,824",,,,,,,,,,,,,,,,"1,824"
56,ราชบุรี,548,,,,,,,,,,,,,,,,548
57,กาญจนบุรี,122,,,,,,,,,,,,,,,,122
58,สุพรรณบุรี,24,,,,,,,,,,,,,,,,24
